SRR9865439	46	gs://ncbi-sra-europe/SRR9865439/422-01-B_R1_trimmed_paired_filtered_clean.fastq	gs://ncbi-sra-europe/SRR9865439/422-01-B_R2_trimmed_paired_filtered_clean.fastq
SRR9865440	46	gs://ncbi-sra-europe/SRR9865440/422-01-A_R1_trimmed_paired_filtered_clean.fastq	gs://ncbi-sra-europe/SRR9865440/422-01-A_R2_trimmed_paired_filtered_clean.fastq
SRR9865441	41	gs://ncbi-sra-europe/SRR9865441/418-01-D_R1_trimmed_paired_filtered_clean.fastq	gs://ncbi-sra-europe/SRR9865441/418-01-D_R2_trimmed_paired_filtered_clean.fastq
SRR9865442	41	gs://ncbi-sra-europe/SRR9865442/418-01-C_R1_trimmed_paired_filtered_clean.fastq	gs://ncbi-sra-europe/SRR9865442/418-01-C_R2_trimmed_paired_filtered_clean.fastq
SRR9865443	34	gs://ncbi-sra-europe/SRR9865443/C039-2-A_R1_trimmed_paired_filtered_clean.fastq	gs://ncbi-sra-europe/SRR9865443/C039-2-A_R2_trimmed_paired_filtered_clean.fastq
SRR9865444	34	gs://ncbi-sra-europe/SRR9865444/C039-2-B_R1_trimmed_paired_filtered_clean.fastq	gs://ncbi-sra-europe/SRR9865444/C039-2-B_R2_trimmed_paired_filtered_clean.fastq
SRR9865445	34	gs://ncbi-sra-europe/SRR9865445/C039-2-C_R1_trimmed_paired_filtered_clean.fastq	gs://ncbi-sra-europe/SRR9865445/C039-2-C_R2_trimmed_paired_filtered_clean.fastq
SRR9865446	34	gs://ncbi-sra-europe/SRR9865446/C039-2-D_R1_trimmed_paired_filtered_clean.fastq	gs://ncbi-sra-europe/SRR9865446/C039-2-D_R2_trimmed_paired_filtered_clean.fastq
SRR9865447	19	gs://ncbi-sra-europe/SRR9865447/C039-1-G_R1_trimmed_paired_filtered_clean.fastq	gs://ncbi-sra-europe/SRR9865447/C039-1-G_R2_trimmed_paired_filtered_clean.fastq
SRR9865448	19	gs://ncbi-sra-europe/SRR9865448/C039-1-H_R1_trimmed_paired_filtered_clean.fastq	gs://ncbi-sra-europe/SRR9865448/C039-1-H_R2_trimmed_paired_filtered_clean.fastq
SRR9865449	29	gs://ncbi-sra-europe/SRR9865449/303-01-C_R1_trimmed_paired_filtered_clean.fastq	gs://ncbi-sra-europe/SRR9865449/303-01-C_R2_trimmed_paired_filtered_clean.fastq
SRR9865450	46	gs://ncbi-sra-europe/SRR9865450/422-01-G_R1_trimmed_paired_filtered_clean.fastq	gs://ncbi-sra-europe/SRR9865450/422-01-G_R2_trimmed_paired_filtered_clean.fastq
SRR9865451	29	gs://ncbi-sra-europe/SRR9865451/303-01-A_R1_trimmed_paired_filtered_clean.fastq	gs://ncbi-sra-europe/SRR9865451/303-01-A_R2_trimmed_paired_filtered_clean.fastq
SRR9865452	29	gs://ncbi-sra-europe/SRR9865452/303-01-B_R1_trimmed_paired_filtered_clean.fastq	gs://ncbi-sra-europe/SRR9865452/303-01-B_R2_trimmed_paired_filtered_clean.fastq
SRR9865453	5	gs://ncbi-sra-europe/SRR9865453/425-01-C_R1_trimmed_paired_filtered_clean.fastq	gs://ncbi-sra-europe/SRR9865453/425-01-C_R2_trimmed_paired_filtered_clean.fastq
SRR9865454	5	gs://ncbi-sra-europe/SRR9865454/425-01-B_R1_trimmed_paired_filtered_clean.fastq	gs://ncbi-sra-europe/SRR9865454/425-01-B_R2_trimmed_paired_filtered_clean.fastq
SRR9865455	43	gs://ncbi-sra-europe/SRR9865455/304-01-B_R1_trimmed_paired_filtered_clean.fastq	gs://ncbi-sra-europe/SRR9865455/304-01-B_R2_trimmed_paired_filtered_clean.fastq
SRR9865456	43	gs://ncbi-sra-europe/SRR9865456/304-01-C_R1_trimmed_paired_filtered_clean.fastq	gs://ncbi-sra-europe/SRR9865456/304-01-C_R2_trimmed_paired_filtered_clean.fastq
